Category ,Answers,,,,,,
Python,"Memory management in Python, for the most part, includes a private pile space, where every one of the information structures and articles is found. Python additionally has an inbuilt city worker that will reuse the unused memory and make it accessible to the load space.",,,,,,
Python,"PYTHONPATH is an environment variable that has a string value, which is added in Python? system directory list as it has a set of directories. PYTHONPATH is generally used when we have not made any installable Python package, but we want to import some code that we have written in a program.",,,,,,
Python,"The most applicable response to this python programming interview question would be that List and Tuple behave almost the same way, and any item stored in a List or Tuple can be accessed by its index. Still, two major differences between them are that List is mutable, but Tuple is immutable, which means, List can be modified, but Tuple cannot be modified. Besides, Lists are slower than Tuples.",,,,,,
Python,"An interpreted language is a language that is read in its raw form, and the statements are executed without being first compiled. Python is an interpreted language as it runs directly from the source code. The source code written by the programmer is first converted into an intermediate language and then to a machine language that has to be executed.
",,,,,,
Python,"Pychecker and Pylint are the static analysis tools that help to find bugs in Python. Pychecker is an open-source device that gets bugs from the source code and shows cautioning about the style and unpredictability of the code.

Pylint has a special purpose, and it controls warning and errors. It searches for programming blunder and keeps up the programming standard. It checks the length of each programming line and whether the names of the variable are like the undertaking style.",,,,,,
Python,"PEP represents the Python Enhancement Proposal. It is a set of rules to allow maximum readability of Python code in terms of formatting. The document describes new features for Python, which includes design and style, suggested by the community.",,,,,,
Python,"The remove() function deletes the matching element/object, whereas del removes the element at a specific index. This is one of the basic Python programming interview questions that interviewers never want to miss out on.",,,,,,
Python,"The shuffle() method, for the most part, takes a succession (rundown, string, or tuple) from the program and rearranges the request for the things. Be that as it may, this technique changes just the first rundown/tuple/string, it doesn? restore another rundown/tuple/string.",,,,,,
Python,"The join() work is a string method that profits a string linked with the components of an iterable. This technique gives an adaptable method to connect string. It links every component of an iterable, (for example, rundown, string, and tuple) to the string and afterward restores the connection string.",,,,,,
Python,"The lstrip() is the strategy that profits a duplicate of the string with driving characters expelled (because of the string contention passed). It expels characters from the left, dependent on the contention (a string determining the arrangement of characters to be evacuated).",,,,,,
Python,"1.Extensive Support Libraries
2.Integration Feature
3.Improved Programmer? Productivity
4.Productivity of applications
5.excellent support community",,,,,,
Python,Pickling is a process by which a Python object gets converted into a string via a pickle module. The process then puts it into a file by calling the dump() method.   Whereas unpickling does the reverse of the above-said process. It retrieves the stored string and turns it back into an object.,,,,,,
Python,"Yes, we can preset Pythonpath as a Python installer.",,,,,,
Python,Tuples is a sequence data type in Python. The number of values in tuples are separated by commas.,,,,,,
Python,The length of the identifier in Python can be of any length. The longest identifier will violate from PEP ??8 and PEP ??20.,,,,,,
Python,"A Pass statement in Python is used when we cannot decide what to do in our code, but we must type something for making syntactically correct.",,,,,,
Python,Break helps in controlling the Python loop by breaking the current loop from execution and transfer the control to the next block.,,,,,,
Python,A continue also helps in controlling the Python loop but by making jumps to the next iteration of the loop without exhausting it.,,,,,,
Python,No. Python does not support an intrinsic do-while loop.,,,,,,
Python,The assignment operators in Python can help in combining all the arithmetic operators with the assignment symbol.,,,,,,
Python,We need membership operators in Python with the purpose to confirm if the value is a member in another or not.,,,,,,
Python,"Unlike membership operators, the identity operators compare the values to find out if they have the same value or not.",,,,,,
SQL,A table is an organized collection of data stored in the form of rows and columns. Columns can be categorized as vertical and rows as horizontal. The columns in a table are called fields while the rows can be referred to as records.,,,,,,
SQL,"The PRIMARY KEY constraint uniquely identifies each row in a table. It must contain UNIQUE values and has an implicit NOT NULL constraint.
A table in SQL is strictly restricted to have one and only one primary key, which is comprised of single or multiple fields (columns).",,,,,,
SQL,"A UNIQUE constraint ensures that all values in a column are different. This provides uniqueness for the column(s) and helps identify each row uniquely. Unlike primary key, there can be multiple unique constraints defined per table. The code syntax for UNIQUE is quite similar to that of PRIMARY KEY and can be used interchangeably.",,,,,,
SQL,A FOREIGN KEY comprises of single or collection of fields in a table that essentially refer to the PRIMARY KEY in another table. Foreign key constraint ensures referential integrity in the relation between two tables.,,,,,,
SQL,"1. Clustered index modifies the way records are stored in a database based on the indexed column. Non-clustered index creates a separate entity within the table which references the original table.
2.Clustered index is used for easy and speedy retrieval of data from the database, whereas, fetching records from the non-clustered index is relatively slower.
3.In SQL, a table can have a single clustered index whereas it can have multiple non-clustered indexes.",,,,,,
SQL,"Data Integrity is the assurance of accuracy and consistency of data over its entire life-cycle, and is a critical aspect to the design, implementation and usage of any system which stores, processes, or retrieves data. It also defines integrity constraints to enforce business rules on the data when it is entered into an application or a database.",,,,,,
SQL,A query is a request for data or information from a database table or combination of tables. A database query can be either a select query or an action query.,,,,,,
SQL,The UNION operator combines and returns the result-set retrieved by two or more SELECT statements.,,,,,,
SQL,The MINUS operator in SQL is used to remove duplicates from the result-set obtained by the second SELECT query from the result-set obtained by the first SELECT query and then return the filtered results from the first.,,,,,,
SQL,The INTERSECT clause in SQL combines the result-set fetched by the two SELECT statements where records from one match the other and then returns this intersection of result-sets.,,,,,,
SQL,"A view in SQL is a virtual table based on the result-set of an SQL statement. A view contains rows and columns, just like a real table. The fields in a view are fields from one or more real tables in the database.",,,,,,
SQL,"Normalization represents the way of organizing structured data in the database efficiently. It includes creation of tables, establishing relationships between them, and defining rules for those relationships. Inconsistency and redundancy can be kept in check based on these rules, hence, adding flexibility to the database.",,,,,,
SQL,"Denormalization is the inverse process of normalization, where the normalized schema is converted into a schema which has redundant information. The performance is improved by using redundancy and keeping the redundant data consistent. The reason for performing denormalization is the overheads produced in query processor by an over-normalized structure.",,,,,,
"SQL
","If a table is dropped, all things associated with the tables are dropped as well. This includes - the relationships defined on the table with other tables, the integrity checks and constraints, access privileges and other grants that the table has. To create and use the table again in its original form, all these relations, checks, constraints, privileges and relationships need to be redefined. However, if a table is truncated, none of the above problems exist and the table retains its original structure.",,,,,,
SQL,,,,,,,
MIS_Technical,A file is a named location which stores data or information permanently. A file is always stored inside a storage device using file name (e.g. STUDENT.MARKS). A file name normally has primary and secondary name separated by a ????DOT).,,,,,,
MIS_Technica,A class is a blueprint from which objects are created. A class contains methods and variables associated with an instance of a class.,,,,,,
MIS_Technical,An object is an instance of a class.,,,,,,
MIS_Technical,A constructor is methods which are used to create an Object of class. There are two types of constructor Default & Parameterized constructor.,,,,,,
MIS_Technical,"The basic OOPS principle are as follows:
??Encapsulation
??Abstraction
??Inheritance
??Polymorphism",,,,,,
MIS_Technical,Inheritance is property in which the property of a parent class(Superclass) is passed on to child class(Subclass).,,,,,,
MIS_Technical,Polymorphism is the ability of an object to take on multiple forms. Most commonly polymorphism is used in OOP when a parent class reference is used to refer to a child class object.,,,,,,
MIS_Technical,Instance variable belongs to a particular instance of that class whereas Class variable. A class variable is also known as static variables.,,,,,,
MIS_Technical,"Constructor: Used to initialize the instance of a class.
Method: Used to perform some function or operation.
Constructor: Doesn? have a return type.
Method: Has a return type.",,,,,,
MIS_Technical,Singleton class limits the number of objects created for a class to one but gives the flexibility of creating more objects if the situation changes.,,,,,,
MIS_Technical,"There are four type of access modifiers as given below:
??Visible to the overall package. No modifier needed.
??Private ??Visible to class only.
??Public ??Visible to the world.
??Protected ??Visible to package and subclass.",,,,,,
Java,The operator with the highest preference is Postfix operators,,,,,,
Java,The array is a container which holds the fixed number of similar data types.,,,,,,
Java,The equals() is a method and it matches the content of the strings whereas == is an operator and matches object or reference of the strings.,,,,,,
Java,yes,,,,,,
Java,"Overloading is when two or more methods in the same class have the same method name but different parameters(i.e different method signatures).
Overriding is when two methods having the same method name and parameters (i.e., method signature) but one of the methods is in the parent class and the other is in the child class.",,,,,,
Java,Java supports multiple inheritances i.e. the ability of a class to implement more than one interface. A class can implement multiple Interfaces but cannot extends multiple classes.,,,,,,
Java,"A stream can be defined as the sequence of data. There is two type of streams.
InputStream: Used to read a data from a source.
OutPut Stream: Used to write a data into a destination.",,,,,,
Java,"Java Character stream is basically used to perform input and output for 16 bit Unicode.
The main classes users are FileReader and FileWriter which internally uses FileInputStream and FileOutputStream so the basic difference is that FileReader and FileWriter read and writes two bites at a time respectively.",,,,,,
Java,"Java Byte stream is basically used to perform input and output for 8 bit Unicode. The main classes related to byte streams are FileInputStream and FileOutputStream.
",,,,,,
Java,"The interface is a reference type in Java, similar to the class but its collection of abstract methods. A class can implement multiple interfaces.",,,,,,
Java,"??The interface cannot be instantiated.
??An interface doesn? have any constructors.
??Interface only have abstract methods.
??A class implements an interface and extends a class.
??An interface can extend multiple interfaces
",,,,,,
Java,"A class which contains the abstract keyword in a declaration is called abstract class. The properties of the abstract class are as follows:
??Abstract classes may or may not contain abstract methods but, if a class has at least one abstract method, then it must be declared abstract.
??The abstract class cannot be instantiated.
??To use an abstract class, we have to inherit it from another class.
??If we inherit an abstract class, then we have to provide implementations to all the abstract methods in it.",,,,,,
Java,"Multiple inheritance is the process where a subclass can be derived from more than one super-class. Its advantage is that a class can inherit the functionality of more than one base class, but its disadvantage is that it can lead to a lot of confusion when two base classes implement a method with the same name.",,,,,,
HTML5,"???he header element contains the introductory section of a page. It can also include the section heading, the author? name, table of contents, or any other important navigational content.?????he article element is used to house a piece of work that can be reused outside of the page without losing its intended meaning. News stories or blog posts are good examples of this.?????he section tag is a versatile container meant for holding information that shares a common theme or purpose.?????he footer element is designed to hold content that should appear at the bottom of a section or at the end of a page. This information might include the author? name, related links, or copyright notices.??
HTML5,What were some of the key goals and motivations for the HTML5 specification?,HTML5 was designed to be able to replace HTML4", XHTML, and the HTML DOM Level 2. This new design provides better support for the web page structure through additional tags, ensures more consistent behavior across browsers, provides better cross-platform support, and delivers rich content like movies and graphics without the need for additional plug-ins. All of this not only makes design easier for the programmer," but it makes the end design more functional for the user."""
HTML5,"??Improved support for embedding rich content like graphics, audio, and video
??The introduction of web workers
??New semantic tags including main, nav, article, section, header, footer, and aside
??Extensions to the JavaScript API
??Additional form controls like calendar, dates, time, email, url, and search",,,,,,
Python,"a. Its syntax is both easy to learn and easy to understand, reading more like a human language.
b. It has large, standard libraries containing all areas like operating system interfaces, web service tools, and string operations.
c. It also has extensive support libraries that drastically decrease time spent on coding, which in turn increases productivity, utilizing other languages like Java, C, C++, and C#.
d. It has clean, object-oriented design and features strong integration processing capabilities.",,,,,,
Python,"Both compile-time and runtime are programming terms that refer to various stages of software program development. Compile-time is the instance where the entered code is converted to executable, while runtime is the instance where the executable is running. Python performs some amount of compile-time code checking, although most of the checks don? occur until code execution.",,,,,,
Python,"A view is a virtual table that contains rows and columns similar to a real table, yet does not contain data of its own. Some advantages of views are that they take up no space, they can be used to restrict access to the database, and they offer a simple way to retrieve complicated query results that need to be executed frequently.",,,,,,
Testing,A set of activities conducted with the intent of finding errors in software.,,,,,,
Testing,Testing conducted to enable a user/customer to determine whether to accept a software product. Normally performed to validate the software meets a set of agreed acceptance criteria.,,,,,,
Testing,"Verifying a product is accessible to the people having disabilities (deaf, blind, mentally disabled etc.).",,,,,,
Testing,A testing phase where the tester tries to 'break' the system by randomly trying the system's functionality.,,,,,,
Testing,A formalized set of software calls and routines that can be referenced by an application program in order to access supporting system or network services.,,,,,,
Testing,A metalanguage used to formally describe the syntax of a language.,,,,,,
Testing,Testing of a release of a software product conducted by customers.,,,,,,
Testing,A specification defining requirements for portability of applications in binary forms across different system platforms and environments.,,,,,,
Testing,"Testing an executable application for portability across system platforms and environments, usually for conformity to an ABI specification.",,,,,,
Testing,"Verification is a review without actually executing the process while validation is checking the product with actual execution. For instance, code review and syntax check is verification while actually running the product and checking the results is validation.",,,,,,
Testing,A fault in a program which causes the program to perform in an unintended or unanticipated manner.,,,,,,
Testing,If software misses some feature or function from what is there in requirement it is called a defect.,,,,,,
Testing,Testing in which all branches in the program source code are tested at least once.,,,,,,
Testing,A test suite that exercises the full functionality of a product but does not test features in detail.,,,,,,
Testing,The Alpha Testing is conducted at the developer sites and in a controlled environment by the end user of the software,,,,,,
Testing,Testing the application after the installation at the client place.,,,,,,
Testing,Testing of individual software components (Unit Testing).,,,,,,
Testing,"Testing a complete application environment in a situation that mimics real-world use, such as interacting with a database, using network communications, or interacting with other hardware, applications, or systems if appropriate.",,,,,,
Testing,Computer Aided Software Testing.,,,,,,
Testing,The Capability Maturity Model for Software (CMM or SW-CMM) is a model for judging the maturity of the software processes of an organization and for identifying the key practices that are required to increase the maturity of these processes.,,,,,,
Testing,"Testing whether software is compatible with other elements of a system with which it should operate, e.g. browsers, Operating Systems, or hardware.",,,,,,
Testing,The process of finding and removing the causes of software failures.,,,,,,
Testing,"Examines an application's requirements for pre-existing software, initial states and configuration in order to maintain proper functionality.",,,,,,
Testing,"In database testing, we can check the integrity of database field values.",,,,,,
Testing,"Interoperability: To check if the software can co-exist with other supporting software in the system
Compatibility: To check if the software runs on different types of operating systems according to customer requirements.",,,,,,
